date	method	sample	Explanation	OD	cort_ng_ml	B/Bo	logit_B/bo	log.conc
03.06.21	dilution	P0	undiluted	0.166	24.41	0.08	-2.50	1.39
03.06.21	dilution	P1	1:1	0.25	10.51	0.11	-2.05	1.02
03.06.21	dilution	P2	1:2	0.388	5.08	0.18	-1.53	0.71
03.06.21	dilution	P3	1:4	0.601	2.58	0.28	-0.97	0.41
03.06.21	dilution	P4	1:8	0.875	1.38	0.40	-0.40	0.14
03.06.21	dilution	P5	1:16	1.188	0.74	0.54	0.18	-0.13
03.06.21	standard	S6	S6	0.147	33.66	0.07	-2.63	1.53
03.06.21	standard	S5	S5	0.325	6.74	0.15	-1.74	0.83
03.06.21	standard	S4	S4	0.776	1.70	0.36	-0.60	0.23
03.06.21	standard	S3	S3	1.486	0.41	0.68	0.75	-0.39
03.06.21	standard	S2	S2	1.969	0.09	0.90	2.21	-1.03
03.06.21	standard	S1	S1	2.185	0.00	1.00	6.08	-2.70
