sample,sex,sow,dg,group,group.order,lt,date,time,testday,context,cort_ngml,plate.name
1,m,6079,DG-3,W,2,61,03. Nov 20,10:00,Baseline3,Baseline,3.214,Petra Cort 11.05.21
1,m,6079,DG-3,W,2,61,03. Nov 20,10:34,Separation,Separation,16.721,Petra Cort 11.05.21
1,m,6079,DG-3,W,2,61,03. Nov 20,10:55,Reunion,Reunion,7.448,Petra Cort 11.05.21
1,m,6079,DG-3,W,1,28,1-Oct-20,08:42,Weaning,Weaning,12.236,Petra_Cort_12.04.21
1,m,6079,DG-3,W,1,47,20-Oct-20,08:25,Baseline2,Baseline,2.715,Petra Cort 14.06.21
1,m,6079,DG-3,W,1,35,8-Oct-20,08:44,Play,Play,7.378,Petra_Cort_07.04.21
1,m,6079,DG-3,W,1,36,9-Oct-20,08:49,Baseline1,Baseline,7.143,Petra_Cort_07.04.21
1,m,6099,DG-4,F,2,28,12. Nov 20,09:10,Weaning,Weaning,15.492,Petra_Cort_15.04.21
1,m,6099,DG-4,F,2,35,19. Nov 20,09:43,Play,Play,5.086,Petra_Cort_15.04.21
1,m,6099,DG-4,F,2,36,20. Nov 20,09:56,Baseline1,Baseline,5.999,Petra_Cort_15.04.21
1,m,6099,DG-4,F,1,64,18-Dec-20,08:06,Baseline3,Baseline,12.57,Petra Cort 27.05.21
1,m,6099,DG-4,F,1,64,18-Dec-20,08:30,Separation,Separation,7.035,Petra Cort 27.05.21
1,m,6099,DG-4,F,1,64,18-Dec-20,08:49,Reunion,Reunion,7.916,Petra Cort 27.05.21
1,m,6099,DG-4,F,1,49,3-Dec-20,08:15,Baseline2,Baseline,2.807,Petra Cort 15.06.21
1,m,6142,DG-2,W,1,28,20. Aug 20,08:41,Weaning,Weaning,14.071,PM_Cort_19.02.21
1,m,6142,DG-2,W,1,35,27. Aug 20,08:44,Play,Play,8.6,PM_Cort_19.02.21
1,m,6142,DG-2,W,1,36,28. Aug 20,08:43,Baseline1,Baseline,5.191,Petra_Cort_12.04.21
1,m,6142,DG-2,W,1,47,08. Sep 20,08:21,Baseline2,Baseline,3.283,Petra Cort 11.06.21
1,m,6142,DG-2,W,2,60,21. Sep 20,09:41,Baseline3,Baseline,4.132,Petra_Cort_28.04.21
1,m,6142,DG-2,W,2,60,21. Sep 20,10:11,Separation,Separation,14.343,Petra_Cort_28.04.21
1,m,6142,DG-2,W,2,60,21. Sep 20,10:31,Reunion,Reunion,7.458,Petra_Cort_28.04.21
1,m,6197,DG-4,W,1,28,12. Nov 20,08:53,Weaning,Weaning,12.66,Petra_Cort_12.04.21
1,m,6197,DG-4,W,1,35,19. Nov 20,08:50,Play,Play,7.962,Petra_Cort_12.04.21
1,m,6197,DG-4,W,1,36,20. Nov 20,08:48,Baseline1,Baseline,17.546,Petra_Cort_12.04.21
1,m,6197,DG-4,W,1,62,16-Dec-20,08:57,Separation,Separation,39.06,Petra Cort 27.05.21
1,m,6197,DG-4,W,1,62,16-Dec-20,09:16,Reunion,Reunion,10.067,Petra Cort 27.05.21
1,m,6197,DG-4,W,1,48,2-Dec-20,08:25,Baseline2,Baseline,7.734,Petra Cort 16.06.21
1,m,6232,DG-2,F,2,28,20. Aug 20,09:15,Weaning,Weaning,17.656,PM_Cort_19.02.21
1,m,6232,DG-2,F,2,35,27. Aug 20,09:33,Play,Play,14.461,PM_Cort_19.02.21
1,m,6232,DG-2,F,2,36,28. Aug 20,09:08,Baseline1,Baseline,14.58,Petra_Cort_07.04.21
1,m,6271,DG-3,F,1,64,06. Nov 20,08:26,Baseline3,Baseline,4.648,Petra Cort 14.05.21
1,m,6271,DG-3,F,1,64,06. Nov 20,08:53,Separation,Separation,10.091,Petra Cort 14.05.21
1,m,6271,DG-3,F,1,64,06. Nov 20,09:12,Reunion,Reunion,5.492,Petra Cort 14.05.21
1,m,6271,DG-3,F,1,50,23-Oct-20,08:25,Baseline2,Baseline,3.888,Petra Cort 14.06.21
1,m,6271,DG-3,F,1,55,28-Oct-20,09:39,Baseline2,Baseline,3.757,Petra Cort 14.06.21
1,m,6420,DG-5,W,1,28,14. Jan 21,08:53,Weaning,Weaning,26.555,Petra_Cort_16.04.21
1,m,6420,DG-5,W,1,35,21. Jan 21,08:36,Play,Play,5.637,Petra_Cort_16.04.21
1,m,6420,DG-5,W,1,36,22. Jan 21,08:43,Baseline1,Baseline,6.278,Petra_Cort_16.04.21
1,m,6420,DG-5,W,2,50,05. Feb 21,11:08,Baseline2,Baseline,2.415,Petra Cort 22.06.21
1,m,6420,DG-5,W,2,64,19. Feb 21,09:15,Baseline3,Baseline,1.988,Petra.Cort.01.06.21
1,m,6420,DG-5,W,2,64,19. Feb 21,09:40,Separation,Separation,10.175,Petra.Cort.01.06.21
1,m,6420,DG-5,W,2,64,19. Feb 21,10:00,Reunion,Reunion,8.913,Petra.Cort.01.06.21
1,m,6421,DG-5,F,2,28,14. Jan 21,09:27,Weaning,Weaning,15.554,Petra_Cort_15.04.21
1,m,6421,DG-5,F,2,35,21. Jan 21,09:49,Play,Play,4.507,Petra_Cort_16.04.21
1,m,6421,DG-5,F,2,36,22. Jan 21,09:32,Baseline1,Baseline,7.708,Petra_Cort_15.04.21
1,m,6421,DG-5,F,1,48,03. Feb 21,08:30,Baseline2,Baseline,3.31,Petra Cort 21.06.21
1,m,6421,DG-5,F,1,50,05. Feb 21,08:25,Baseline2,Baseline,2.709,Petra Cort 21.06.21
1,m,6421,DG-5,F,1,53,08. Feb 21,08:15,Baseline2,Baseline,4.191,Petra Cort 21.06.21
1,m,6421,DG-5,F,1,62,17. Feb 21,08:27,Baseline3,Baseline,2.409,Petra.Cort.01.06.21
1,m,6421,DG-5,F,1,62,17. Feb 21,08:53,Separation,Separation,4.732,Petra.Cort.01.06.21
1,m,6421,DG-5,F,1,62,17. Feb 21,09:12,Reunion,Reunion,5.869,Petra.Cort.01.06.21
2,m,6079,DG-3,W,2,60,02. Nov 20,09:20,Baseline3,Baseline,6.489,Petra Cort 11.05.21
2,m,6079,DG-3,W,2,60,02. Nov 20,09:45,Separation,Separation,17.189,Petra Cort 11.05.21
2,m,6079,DG-3,W,2,60,02. Nov 20,10:03,Reunion,Reunion,12.528,Petra Cort 11.05.21
2,m,6079,DG-3,W,2,46,19-Oct-20,11:40,Baseline2,Baseline,2.091,Petra Cort 11.06.21
2,m,6079,DG-3,W,1,28,1-Oct-20,08:47,Weaning,Weaning,18.672,Petra_Cort_12.04.21
2,m,6079,DG-3,W,1,35,8-Oct-20,08:47,Play,Play,9.659,Petra_Cort_07.04.21
2,m,6079,DG-3,W,1,36,9-Oct-20,08:41,Baseline1,Baseline,11.837,Petra_Cort_07.04.21
2,m,6099,DG-4,F,2,36,20. Nov 20,09:36,Baseline1,Baseline,9.561,Petra_Cort_15.04.21
2,m,6099,DG-4,F,2,64,18-Dec-20,11:06,Baseline3,Baseline,4.6,Petra Cort 27.05.21
2,m,6099,DG-4,F,2,64,18-Dec-20,11:32,Separation,Separation,6.947,Petra Cort 27.05.21
2,m,6099,DG-4,F,2,64,18-Dec-20,11:51,Reunion,Reunion,12.854,Petra Cort 27.05.21
2,m,6099,DG-4,F,1,50,4-Dec-20,08:20,Baseline2,Baseline,3.985,Petra Cort 12.07.21
2,m,6099,DG-4,F,2,50,4-Dec-20,11:35,Baseline2,Baseline,5.721,Petra Cort 15.06.21
2,f,6142,DG-2,W,1,28,20. Aug 20,08:44,Weaning,Weaning,10.343,PM_Cort_19.02.21
2,f,6142,DG-2,W,1,35,27. Aug 20,08:40,Play,Play,15.157,PM_Cort_19.02.21
2,f,6142,DG-2,W,1,36,28. Aug 20,08:39,Baseline1,Baseline,10.786,Petra_Cort_07.04.21
2,f,6142,DG-2,W,2,48,09. Sep 20,11:02,Baseline2,Baseline,4.995,Petra Cort 11.06.21
2,f,6142,DG-2,W,2,63,24. Sep 20,09:21,Baseline3,Baseline,11.219,Petra_Cort_29.04.21
2,f,6142,DG-2,W,2,63,24. Sep 20,09:50,Separation,Separation,12.337,Petra_Cort_29.04.21
2,f,6142,DG-2,W,2,63,24. Sep 20,10:09,Reunion,Reunion,10.89,Petra_Cort_29.04.21
2,m,6197,DG-4,W,1,28,12. Nov 20,08:46,Weaning,Weaning,18.053,Petra_Cort_12.04.21
2,m,6197,DG-4,W,2,62,16-Dec-20,11:32,Baseline3,Baseline,9.648,Petra Cort 27.05.21
2,m,6197,DG-4,W,2,62,16-Dec-20,11:57,Separation,Separation,29.207,Petra Cort 27.05.21
2,m,6197,DG-4,W,2,62,16-Dec-20,12:18,Reunion,Reunion,10.883,Petra Cort 27.05.21
2,m,6197,DG-4,W,2,49,3-Dec-20,10:50,Baseline2,Baseline,6.187,Petra Cort 16.06.21
2,m,6197,DG-4,W,1,53,7-Dec-20,09:02,Baseline2,Baseline,8.598,Petra Cort 12.07.21
2,f,6232,DG-2,F,1,46,07. Sep 20,08:40,Baseline2,Baseline,3.594,Petra Cort 03.06.21
2,f,6232,DG-2,F,2,47,08. Sep 20,11:01,Baseline2,Baseline,4.204,Petra Cort 03.06.21
2,f,6232,DG-2,F,1,48,09. Sep 20,08:36,Baseline2,Baseline,6.43,Petra Cort 09.06.21
2,f,6232,DG-2,F,2,62,23. Sep 20,09:15,Baseline3,Baseline,4.636,Petra_Cort_29.04.21
2,f,6232,DG-2,F,2,62,23. Sep 20,09:45,Separation,Separation,36.277,Petra_Cort_29.04.21
2,f,6232,DG-2,F,2,62,23. Sep 20,10:08,Reunion,Reunion,15.555,Petra_Cort_29.04.21
2,m,6271,DG-3,F,2,62,04. Nov 20,09:58,Baseline3,Baseline,3.266,Petra Cort 11.05.21
2,m,6271,DG-3,F,2,62,04. Nov 20,10:23,Separation,Separation,13.475,Petra Cort 11.05.21
2,m,6271,DG-3,F,2,62,04. Nov 20,10:44,Reunion,Reunion,14.866,Petra Cort 11.05.21
2,m,6271,DG-3,F,2,28,1-Oct-20,09:06,Weaning,Weaning,17.845,Petra_Cort_07.04.21
2,m,6271,DG-3,F,1,47,20-Oct-20,08:20,Baseline2,Baseline,3.655,Petra Cort 11.06.21
2,m,6271,DG-3,F,1,48,21-Oct-20,08:25,Baseline2,Baseline,3.222,Petra Cort 14.06.21
2,m,6271,DG-3,F,2,35,8-Oct-20,09:46,Play,Play,9.958,Petra_Cort_07.04.21
2,m,6420,DG-5,W,1,28,14. Jan 21,08:42,Weaning,Weaning,7.18,Petra_Cort_16.04.21
2,m,6420,DG-5,W,1,35,21. Jan 21,08:51,Play,Play,12.738,Petra_Cort_28.04.21
2,m,6420,DG-5,W,1,36,22. Jan 21,08:34,Baseline1,Baseline,7.157,Petra_Cort_28.04.21
