"sex","sow","group.order","age","date","time","testday","context","cort_ngml","plate.name.cort","uniq.group","uniq.id","oxyt_pgml","plate.name.oxyt","time.n","time.n.z","age.z"
"m",5,2,61,2020-11-03,10:00:00,"Baseline3","Baseline",3.214,"Petra Cort 11.05.21","DG-3_W","DG-3_W_1",47.888,"BS_OXT_06.05.21",10,0.381443237386461,1.02765094108416
"m",5,2,61,2020-11-03,10:34:00,"Separation","Separation",16.721,"Petra Cort 11.05.21","DG-3_W","DG-3_W_1",24.497,"BS_OXT_06.05.21",10.5666666666667,0.928900343737335,1.02765094108416
"m",5,2,61,2020-11-03,10:55:00,"Reunion","Reunion",7.448,"Petra Cort 11.05.21","DG-3_W","DG-3_W_1",52.202,"BS_OXT_06.05.21",10.9166666666667,1.26703561530699,1.02765094108416
"m",5,1,28,2020-10-01,08:42:00,"Weaning","Weaning",12.236,"Petra_Cort_12.04.21","DG-3_W","DG-3_W_1",222.824,"BS_OXT_16.12.20",8.7,-0.874487771300841,-1.51721113840229
"m",5,1,47,2020-10-20,08:25:00,"Baseline2","Baseline",2.715,"Petra Cort 14.06.21","DG-3_W","DG-3_W_1",41.664,"BS_OXT_13.07.21",8.41666666666667,-1.14821632447628,-0.0519875168797908
"m",5,1,35,2020-10-08,08:44:00,"Play","Play",7.378,"Petra_Cort_07.04.21","DG-3_W","DG-3_W_1",219.168,"BS_OXT_16.12.20",8.73333333333333,-0.842284412103731,-0.977391909420317
"m",5,1,36,2020-10-09,08:49:00,"Baseline1","Baseline",7.143,"Petra_Cort_07.04.21","DG-3_W","DG-3_W_1",103.729,"BS_OXT_03.03.21",8.81666666666667,-0.761776014110954,-0.900274876708607
"m",6,2,28,2020-11-12,09:10:00,"Weaning","Weaning",15.492,"Petra_Cort_15.04.21","DG-4_F","DG-4_F_1",NA,NA,9.16666666666667,-0.423640742541297,-1.51721113840229
"m",6,2,35,2020-11-19,09:43:00,"Play","Play",5.086,"Petra_Cort_15.04.21","DG-4_F","DG-4_F_1",106.642,"BS_OXT_29.03.21",9.71666666666667,0.107714684211023,-0.977391909420317
"m",6,2,36,2020-11-20,09:56:00,"Baseline1","Baseline",5.999,"Petra_Cort_15.04.21","DG-4_F","DG-4_F_1",136.027,"BS_OXT_29.03.21",9.93333333333333,0.31703651899224,-0.900274876708607
"m",6,1,64,2020-12-18,08:06:00,"Baseline3","Baseline",12.57,"Petra Cort 27.05.21","DG-4_F","DG-4_F_1",127.166,"BS_OXT_18.05.21",8.1,-1.45414823684883,1.25900203921929
"m",6,1,64,2020-12-18,08:30:00,"Separation","Separation",7.035,"Petra Cort 27.05.21","DG-4_F","DG-4_F_1",37.412,"BS_OXT_18.05.21",8.5,-1.0677079264835,1.25900203921929
"m",6,1,64,2020-12-18,08:49:00,"Reunion","Reunion",7.916,"Petra Cort 27.05.21","DG-4_F","DG-4_F_1",161.432,"BS_OXT_18.05.21",8.81666666666667,-0.761776014110954,1.25900203921929
"m",6,1,49,2020-12-03,08:15:00,"Baseline2","Baseline",2.807,"Petra Cort 15.06.21","DG-4_F","DG-4_F_1",NA,NA,8.25,-1.30923312046183,0.10224654854363
"m",7,1,28,2020-08-20,08:41:00,"Weaning","Weaning",14.071,"PM_Cort_19.02.21","DG-2_W","DG-2_W_1",152.411,"BS_OXT_08.12.20",8.68333333333333,-0.890589450899395,-1.51721113840229
