sample,sex,sow,dg,group,group.order,lt,date,time,testday,context,oxt_pgml,plate.name
7,m,6310,DG-4,W,2,62,16-Dec-20,10:29,Separation,Separation,23.533,BS_OXT_18.05.21
1,m,6079,DG-3,W,2,61,03. Nov 20,10:34,Separation,Separation,24.497,BS_OXT_06.05.21
9,f,6407,DG-5,F,2,63,18. Feb 21,09:39,Separation,Separation,31.087,BS_OXT_25.05.21
7,m,5952,DG-2,F,2,62,23. Sep 20,11:03,Baseline3,Baseline,33.1,BS_OXT_22.04.21
5,f,6420,DG-5,W,2,64,19. Feb 21,10:49,Baseline3,Baseline,33.743,BS_OXT_25.05.21
8,f,6188,DG-4,F,2,62,16-Dec-20,09:40,Separation,Separation,33.951,BS_OXT_18.05.21
8,m,6407,DG-5,F,1,60,15. Feb 21,08:57,Separation,Separation,35.863,BS_OXT_25.05.21
2,m,6420,DG-5,W,2,62,17. Feb 21,11:32,Reunion,Reunion,36.107,BS_OXT_25.05.21
6,m,6073,DG-3,W,1,48,21-Oct-20,08:20,Baseline2,Baseline,37.036,BS_OXT_13.07.21
1,m,6099,DG-4,F,1,64,18-Dec-20,08:30,Separation,Separation,37.412,BS_OXT_18.05.21
8,m,6407,DG-5,F,1,60,15. Feb 21,09:20,Reunion,Reunion,37.467,BS_OXT_25.05.21
3,f,6421,DG-5,F,2,61,16. Feb 21,10:00,Reunion,Reunion,37.544,BS_OXT_19.05.21
9,f,6407,DG-5,F,2,63,18. Feb 21,09:59,Reunion,Reunion,37.727,BS_OXT_25.05.21
1,m,6197,DG-4,W,1,62,16-Dec-20,09:16,Reunion,Reunion,39.453,BS_OXT_18.05.21
7,m,6188,DG-4,F,2,61,15-Dec-20,12:11,Reunion,Reunion,40.129,BS_OXT_18.05.21
1,m,6421,DG-5,F,1,62,17. Feb 21,08:53,Separation,Separation,40.329,BS_OXT_19.05.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:27,Separation,Separation,40.719,BS_OXT_19.05.21
10,f,6188,DG-4,F,2,64,18-Dec-20,10:00,Separation,Separation,41.289,BS_OXT_18.05.21
1,m,6079,DG-3,W,1,47,20-Oct-20,08:25,Baseline2,Baseline,41.664,BS_OXT_13.07.21
2,m,6420,DG-5,W,2,62,17. Feb 21,11:14,Separation,Separation,42.118,BS_OXT_19.05.21
7,m,6310,DG-4,W,2,62,16-Dec-20,10:48,Reunion,Reunion,44.7,BS_OXT_18.05.21
2,m,6099,DG-4,F,2,64,18-Dec-20,11:32,Separation,Separation,44.755,BS_OXT_18.05.21
2,m,6421,DG-5,F,2,62,17. Feb 21,10:23,Separation,Separation,44.992,BS_OXT_19.05.21
3,f,6421,DG-5,F,2,61,16. Feb 21,09:40,Separation,Separation,45.473,BS_OXT_19.05.21
6,m,6188,DG-4,F,2,61,15-Dec-20,10:15,Separation,Separation,45.581,BS_OXT_10.05.21
9,f,6235,DG-5,W,2,63,18. Feb 21,10:25,Separation,Separation,45.582,BS_OXT_25.05.21
5,f,6099,DG-4,F,2,62,16-Dec-20,10:48,Baseline3,Baseline,45.599,BS_OXT_18.05.21
2,m,6421,DG-5,F,2,62,17. Feb 21,09:57,Baseline3,Baseline,45.62,BS_OXT_19.05.21
4,f,6421,DG-5,F,2,61,16. Feb 21,11:10,Separation,Separation,46.118,BS_OXT_19.05.21
5,f,6421,DG-5,F,2,63,18. Feb 21,11:09,Separation,Separation,46.367,BS_OXT_25.05.21
